traduccion_espanol,palabra_ingles,categoria,ejemplo,notas
abarcar,to encompass,Verbo,"Este proyecto abarca varios temas complejos. (This project encompasses several complex topics.)",Usado en contextos formales.
cautelar,to safeguard,Verbo,"Es importante cautelar los derechos de los trabajadores. (It's important to safeguard workers' rights.)",Común en contextos legales.
efímero,ephemeral,Adjetivo,"La belleza de las flores es efímera. (The beauty of flowers is ephemeral.)",Típico en literatura o descripciones poéticas.
inefable,ineffable,Adjetivo,"La experiencia fue inefable, imposible de describir. (The experience was ineffable, impossible to describe.)",Usado en contextos filosóficos o espirituales.
suscitar,to spark,Verbo,"Sus comentarios suscitaron un gran debate. (His comments sparked a great debate.)",Neutral puede ser positivo o negativo.
plétora,plethora,Sustantivo,"Hay una plétora de opciones disponibles. (There is a plethora of options available.)",Formal común en escritura académica.
atemorizar,to intimidate,Verbo,"No dejes que te atemoricen. (Don't let them intimidate you.)",Similar a "asustar" pero más fuerte.
pormenor,detail,Sustantivo,"Analizaremos cada pormenor del caso. (We will analyze every detail of the case.)",Más formal que "detalle".
reacio,reluctant,Adjetivo,"Estaba reacio a aceptar la propuesta. (He was reluctant to accept the proposal.)",Usado para resistencia personal.
colosal,colossal,Adjetivo,"Construyeron un monumento colosal. (They built a colossal monument.)",Para cosas de tamaño o importancia enorme.
no obstante,nevertheless,Conector,"No obstante, decidimos continuar. (Nevertheless, we decided to continue.)",Alternativa formal a "sin embargo".
a la par,simultaneously,Adverbio,"Trabajamos y estudiamos a la par. (We work and study simultaneously.)",Menos común que "al mismo tiempo".
inherente,inherent,Adjetivo,"El riesgo es inherente a esta profesión. (Risk is inherent to this profession.)",Usado en contextos técnicos o filosóficos.
subyacer,to underlie,Verbo,"Varios factores subyacen a este problema. (Several factors underlie this problem.)",Típico en análisis académicos.
emular,to emulate,Verbo,"Muchos intentan emular su estilo. (Many try to emulate his style.)",Usado en contextos de imitación de modelos.
laxo,lax,Adjetivo,"Las regulaciones fueron demasiado laxas. (The regulations were too lax.)",Común en contextos de normas o disciplina.
utopía,utopia,Sustantivo,"Su plan era una utopía irrealizable. (His plan was an unattainable utopia.)",Concepto filosófico o político.
vehemente,vehement,Adjetivo,"Hizo una defensa vehemente de sus ideas. (He made a vehement defense of his ideas.)",Para emociones o argumentos intensos.
relegar,to relegate,Verbo,"El equipo fue relegado a segunda división. (The team was relegated to the second division.)",Usado en deportes o jerarquías.
inconmensurable,immeasurable,Adjetivo,"El universo es inconmensurable. (The universe is immeasurable.)",Para cosas que no pueden cuantificarse.
aunque,albeit,Conector,"Fue un buen intento, aunque fallido.",Más formal que 'aunque' común.
perspicaz,insightful,Adjetivo,Su comentario fue muy perspicaz.,Describe comprensión profunda.
consecuentemente,consequently,Adverbio,"Olvidó el paraguas y, consecuentemente, se mojó.",
sostener,uphold,Verbo,Los jueces deben sostener la ley.,Usado formalmente en contextos legales.
discrepar,dissent,Verbo,Discrepó con la opinión del grupo.,Común en contextos formales o legales.
resuelto,resolute,Adjetivo,Fue resuelto en su decisión de irse.,Describe determinación firme.
en consecuencia,thereby,Conector,"Aprobó el curso, en consecuencia obtuvo el título.",Relaciona causa y efecto.
tenaz,tenacious,Adjetivo,Es tenaz en la búsqueda de la verdad.,Implica persistencia firme.
cuidadosamente,meticulously,Adverbio,Organizó sus documentos cuidadosamente.,Alto grado de atención al detalle.
